Support Cluster,Support Item,Support Item Ref No,Support Item Description,Unit of Measure,Quote Required,List Price,Support Categories,Support Category Number
Home Modification,stair lift with seat,18 30 10 00,seat and rails attached to stairs or incline for ambulant person to ride up stairs on,Each,Y,$1.00 ,Home modifications,7
Home Modification,stair lift with platform,18 30 11 00,platform attached to rail or track to traverse person over stairs to upper or lower levels,Each,Y,$1.00 ,Home modifications,7
Home Modification,ramp portable fibre glass 1200mm,18 30 15 01,portable ramp suitable for outings etc but not permanently affixed,Each,Y,$500.00 ,Home modifications,7
Home Modification,ramp portable fibre glass 1650mm,18 30 15 02,portable ramp suitable for outings etc but not permanently affixed,Each,Y,$675.00 ,Home modifications,7
Home Modification,ramp portable fibre glass 1350mm,18 30 15 03,portable ramp suitable for outings etc but not permanently affixed,Each,Y,$695.00 ,Home modifications,7
Home Modification,ramp portable fibre glass 2000mm,18 30 15 04,portable ramp suitable for outings etc but not permanently affixed,Each,Y,$950.00 ,Home modifications,7
Home Modification,ramp portable fibre glass 2000mm with edge,18 30 15 05,portable ramp suitable for outings etc but not permanently affixed,Each,Y,"$1,280.00 ",Home modifications,7
Home Modification,ramp portable fibre glass 875mm,18 30 15 06,portable ramp suitable for outings etc but not permanently affixed,Each,Y,$450.00 ,Home modifications,7
Home Modification,ramp portable fibre glass 700mm,18 30 15 07,portable ramp suitable for outings etc but not permanently affixed,Each,Y,$400.00 ,Home modifications,7
Home Modification,ramps timber with galvanised rails- 300 per lineal meter,18 30 18 01,permanently installed timber ramp with galvanised rails,Each,Y,$300.00 ,Home modifications,7
Home Modification,ramps concrete with galvanised rails- 400 per lineal meter,18 30 18 02,permanently installed concrete ramp with galvanised rails,Each,Y,$400.00 ,Home modifications,7
Home Modification,ramps modular aluminium removable 2400mm x 1200 mm,18 30 18 03,temporary removable ramps which are not portable,Each,Y,"$1,000.00 ",Home modifications,7
Home Modification,ramps modular aluminium removable 600mm x 1200 mm,18 30 18 04,temporary removable ramps which are not portable,Each,Y,$600.00 ,Home modifications,7
Home Modification,ramps modular aluminium removable 2400mm x 1800 (landing) mm,18 30 18 05,temporary removable ramps which are not portable,Each,Y,"$1,300.00 ",Home modifications,7
Home Modification,ramps modular aluminium removable 1200mm x 1200 (landing) mm,18 30 18 06,temporary removable ramps which are not portable,Each,Y,$800.00 ,Home modifications,7
Home Modification,home modifications- minor step ramp modification supply and fit landings and risers,18 30 18 07,,Each,Y,$600.00 ,Home modifications,7
Home Modification,"home modifications- minor step ramp modification supply & fit landings, risers & bilateral handrails",18 30 18 08,,Each,Y,$800.00 ,Home modifications,7
Home Modification,slip resistant tile coating- approx. 5m x 5m,18 33 15 00,,Each,Y,$350.00 ,Home modifications,7
Home Modification,certification or approval of home modifications,19 001,Certifier independent of a builder who can advise on the compliance of plans with the necessary work undertaken.,Hour,Y,$1.00 ,Home modifications,7
Home Modification,home modifications project manager or building certifier,19 002,Project manager or building certifier employed to ensure compliance with modifications plans to allow home access by person with disability,Hour,Y,$1.00 ,Home modifications,7
Home Modification,consultation about home modification designs with builder,19 003,"drawings or plans which allow agreement to be confirmed, e.g. modifications and for quotes to be obtained",Hour,Y,$1.00 ,Home modifications,7
Home Modification,project management of home modifications,19 004,"Project manager or certifier independent of a builder, who can provide advice on compliance of the plans with work undertaken and can co-ordinate quotes and payments.",Hour,Y,$1.00 ,Home modifications,7
Household Tasks,house and/or yard maintenance,20 001,Performing essential house and or yard activities that the participant is not able to undertake.,Hour,N,$41.23 ,"Assistance with daily life at home in the community, education and at work",1
Household Tasks,house cleaning and other household activities,20 002,Performing essential house cleaning activities that the participant is not able to undertake.,Hour,N,$36.96 ,"Assistance with daily life at home in the community, education and at work",1
Household Tasks,linen service,20 003,Provision of clean linen to a participant unable to do their own laundry without assistance.,Each,Y,$20.00 ,"Assistance with daily life at home in the community, education and at work",1
Household Tasks,assistance with the cost of preparation and delivery of meals,20 005,"Preparation and delivery of meals to a participant who is unable to do this themselves, and is not in receipt of other supports that would meet the same need. Food costs not included. Cost varies with the number of meals prepared and deliveries required.",Each,Y,$10.89 ,"Assistance with daily life at home in the community, education and at work",1
Interpret/Translate,Auslan or signed English training,21 001,Training in the use of Auslan and other communication techniques; tafe course fee or equivalent.,Each,Y,$115.46 ,"Assistance with daily life at home in the community, education and at work",1
Interpret/Translate,interpreting & translating,21 003,Services to interpret or translate another language.,Hour,N,$117.55 ,"Assistance with daily life at home in the community, education and at work",1
Interpret/Translate,telephone or video interpreting,21 006,Telephone or video services to interpret or translate another language or format.,Hour,Y,$83.97 ,"Assistance with daily life at home in the community, education and at work",1
Vision Equipment,image-enlarging video systems- zoom text,22 03 18 01,video system which magnifies text or pictures,Each,Y,$850.00 ,Assistive technology,5
Vision Equipment,audio labellers,22 03 18 02,"scanners or similar which reads symbol, bar codes or text",Each,Y,$160.00 ,Assistive technology,5
Hearing Equipment,hearing aid (one) higher needs-amount in addition to OHS subsidy,22 06 15 00,Monaural hearing device for voucher clients with higher needs from OHS Top-Up Schedule  (amount in addition to OHS subsidy),Each,Y,$800.00 ,Assistive technology,5
Hearing Equipment,hearing aid (two) higher needs-amount in addition to OHS subsidy,22 06 15 01,Binaural hearing devices for voucher clients with higher needs -  from OHS Top Up schedule (amount in addition to OHS subsidy),Each,Y,"$1,600.00 ",Assistive technology,5
Hearing Equipment,cochlear implant speech processor and coil,22 06 21 02,The external part of the Cochlear Implant which picks up speech and processes the sound,Each,N,"$8,050.00 ",Assistive technology,5
Hearing Equipment,external components for other implantable devices,22 06 21 04,"external components for a range of implantable devices other than cochlear implants for people who are unable to use conventional hearing aids, including bone conduction devices and middle ear implants",Each,N,"$6,500.00 ",Assistive technology,5
Assistive Prod-Household Task,other alarms and door bells,22 06 27 00,"Amplified, visual alert and/or vibratory alarms",Each,Y,$55.00 ,Assistive technology,5
Hearing Equipment,hearing aid replacement fee OHS devices- over 25yrs not DVA,22 06 27 01,,Each,N,$30.00 ,Assistive technology,5
Hearing Equipment,personal amplifiers/binaural listener,22 06 27 02,"Personal Sound amplifiers can be worn, systems usually consist of a small box with a microphone to pick up sound which is then amplified and sent to the ears via headphones or earbuds",Each,Y,$250.00 ,Assistive technology,5
Hearing Equipment,loudspeakers,22 06 27 03,,Each,Y,$50.00 ,Assistive technology,5
Hearing Equipment,tinnitus reduction device,22 06 27 04,May include higher technology hearing aids with tinnitus programs or stand-alone maskers and suppressors.,Each,Y,$200.00 ,Assistive technology,5
Hearing Equipment,adapted landline telephone,22 06 27 05,"Telephones with features including amplified sound, different ring pitch and visual alerts using wireless Bluetooth with a landline",Each,Y,$75.00 ,Assistive technology,5
Hearing Equipment,hearing aid maintenance OHS voucher client contribution,22 06 27 06,Annual maintenance contribution fee,Each,N,$40.53 ,Assistive technology,5
Hearing Equipment,telephone coupler,22 06 27 07,Small portable device that attaches to the earpiece of the telephone  and amplifies sound,Each,Y,$60.00 ,Assistive technology,5
Hearing Equipment,remote control,22 06 27 08,A remote control that enables changes to be made to hearing aids without touching the hearing devices. It allows access to volume and program changes for people with poor or nil manual dexterity and for use by carers.,Each,Y,$200.00 ,Assistive technology,5
Hearing Equipment,streamer,22 06 27 09,"Enable wireless access to accessories such as mobile phones, MP3 players and audio devices for hearing aid users.",Each,Y,$350.00 ,Assistive technology,5
Hearing Equipment,vibro tactile devices,22 06 27 10,A device that picks up sound and transforms it into a vibrating signal that is felt by the user,Each,Y,$1.00 ,Assistive technology,5
Hearing Equipment,music devices,22 06 27 12,Portable couplers that allow hearing aid users to access music via audio devices,Each,Y,$60.00 ,Assistive technology,5
Hearing Equipment,smoke alarm adapted for hearing impaired,22 06 27 13,Visual alert or vibrating smoke alarm packages,Each,Y,$400.00 ,Assistive technology,5
Hearing Equipment,tv device for hearing assistance,22 06 27 14,Systems for delivering sound directly from the TV to the ear,Each,Y,$100.00 ,Assistive technology,5
Comms & Info Equipment,voice generators,22 09 03 01,Device held to neck which picks up vibrations and amplifies as speech.,Each,Y,$650.00 ,Assistive technology,5
Comms & Info Equipment,voice amplifiers for personal use,22 09 06 01,Device to amplify voice.,Each,Y,$400.00 ,Assistive technology,5
Vision Equipment,assistive products for drawing and writing,22 12 00 01,,Each,Y,$1.00 ,Assistive technology,5
Vision Equipment,portable note-taking devices for braille,22 12 21 01,,Each,Y,"$4,495.00 ",Assistive technology,5
Comms & Info Equipment,word processing software,22 12 24 00,,Each,Y,$1.00 ,Assistive technology,5
Vision Equipment,word processing software for alternate access- vision,22 12 24 01,e.g. jaws,Each,Y,"$1,150.00 ",Assistive technology,5
Vision Equipment,word processing software for alternate access- text recognition stand alone,22 12 24 02,"e.g. clear reader, read easy",Each,N,"$2,400.00 ",Assistive technology,5
Vision Equipment,sound recording and playing devices,22 18 03 01,"A desk top unit which magnifies paper based or detailed small objects. For example, Daisy Player",Each,Y,$1.00 ,Assistive technology,5
Vision Equipment,cctv/ electronic magnification unit,22 18 18 01,desk top unit which magnifies paper based or detailed small objects,Each,Y,"$3,400.00 ",Assistive technology,5
Vision Equipment,cctv electronic magnification unit- portable,22 18 18 02,hand held unit which magnifies paper based or detailed small objects,Each,Y,$750.00 ,Assistive technology,5
Vision Equipment,image-enlarging video systems- desk top magnifier,22 18 18 03,,Each,Y,"$2,500.00 ",Assistive technology,5
Vision Equipment,other vision equipment not listed,22 18 18 99,,Each,Y,$1.00 ,Assistive technology,5
Vision Equipment,decoders for videotext and text television,22 18 21 00,,Each,Y,$1.00 ,Assistive technology,5
Hearing Equipment,radio frequency transmission systems for hearing,22 18 24 00,"Remote microphone sound transmission systems can be used to overcome difficulties with distance, background noise and reverberation",Each,Y,$600.00 ,Assistive technology,5
Hearing Equipment,induction loop devices,22 18 30 00,"Designed for individual use in private and public situations including  reception counters, meetings and other appointments",Each,Y,$80.00 ,Assistive technology,5
Comms & Info Equipment,microphones,22 18 33 00,,Each,Y,$1.00 ,Assistive technology,5
Comms & Info Equipment,face-to-face communication assistive products,22 21 00 00,"Communication boards accessed by pointing, eye gaze or other selection methods.",Each,Y,$1.00 ,Assistive technology,5
Comms & Info Equipment,communication software for computer or tablet,22 21 02 01,Software to convert a tablet or computer device to a communication device.,Each,Y,$170.00 ,Assistive technology,5
Comms & Info Equipment,customised commercial tablet,22 21 02 02,,Each,Y,$900.00 ,Assistive technology,5
Comms & Info Equipment,letter and symbol sets and boards,22 21 03 01,Books or boards with letter symbols or pictures that assist with communication.,Each,Y,$250.00 ,Assistive technology,5
Comms & Info Equipment,communication amplifiers,22 21 06 00,device to amplify voice,Each,Y,$1.00 ,Assistive technology,5
Comms & Info Equipment,static-single button device which provides audible message output,22 21 09 01,,Each,Y,$250.00 ,Assistive technology,5
Comms & Info Equipment,dynamic display dialogue units,22 21 09 02,communication device with customisable and changing screens which allows a highly customised voice output generation,Each,Y,$1.00 ,Assistive technology,5
Comms & Info Equipment,text to speech device,22 21 09 03,Keyed input converting text to speech.,Each,Y,$1.00 ,Assistive technology,5
Comms & Info Equipment,accessories for telephoning,22 24 21 01,e.g. multipurpose big button switch,Each,Y,$100.00 ,Assistive technology,5
Vision Equipment,mobile phone with voice output and enlargement,22 24 21 02,,Each,Y,$475.00 ,Assistive technology,5
Assistive Prod-Household Task,adapted clocks,22 27 12 00,,Each,Y,$80.00 ,Assistive technology,5
Assistive Prod-Household Task,programmable memory aids,22 27 16 00,,Each,Y,$1.00 ,Assistive technology,5
Hearing Equipment,baby cry alerting systems for hearing impaired,22 27 21 01,Visual or vibrating alert,Each,Y,$400.00 ,Assistive technology,5
Comms & Info Equipment,keyboards/ key guards,22 36 03 01,guards that assist a person in activating the right part of a screen or keyboard,Each,Y,$150.00 ,Assistive technology,5
Comms & Info Equipment,simple switches,22 36 12 01,"Including single input switches, pressure, touch, and puff.",Each,Y,$90.00 ,Assistive technology,5
Comms & Info Equipment,switch adapted mouse,22 36 12 02,Computer mouse adapted for switch access.,Each,Y,$50.00 ,Assistive technology,5
Comms & Info Equipment,input software i.e. voice activated software,22 36 18 01,Software that allows non-manual or alternate access to a computer.,Each,Y,$450.00 ,Assistive technology,5
Comms & Info Equipment,head pointer,22 36 21 01,assistive products to position screen pointer and to select items on computer display,Each,Y,$300.00 ,Assistive technology,5
Comms & Info Equipment,eye gaze system,22 36 21 02,Hardware and software that directs or selects inputs by gaze to activate a computer or communication device.,Each,Y,"$9,000.00 ",Assistive technology,5
Vision Equipment,tactile computer displays,22 39 05 00,,Each,Y,"$4,000.00 ",Assistive technology,5
Vision Equipment,braille printers- desk top,22 39 06 01,,Each,Y,"$3,500.00 ",Assistive technology,5
Vision Equipment,braille printers- portable,22 39 06 02,,Each,Y,"$3,500.00 ",Assistive technology,5
Vision Equipment,braille embosser- notetaker with voice output,22 39 06 03,,Each,Y,"$4,495.00 ",Assistive technology,5
Comms & Info Equipment,static audible player display,22 39 07 01,,Each,Y,$450.00 ,Assistive technology,5
Comms & Info Equipment,portable audible player for computer,22 39 07 02,,Each,Y,$500.00 ,Assistive technology,5
Comms & Info Equipment,personal reader- speech output,22 39 07 03,,Each,Y,"$3,000.00 ",Assistive technology,5
Comms & Info Equipment,personal reader- speech and visual output,22 39 07 04,,Each,Y,"$5,000.00 ",Assistive technology,5
Participate Community,"assistance to access community, social/recreational acts-individual higher intensity-public holiday",23 001,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs on a public holiday.,Hour,N,$94.01 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"assistance to access community, social/recreational acts-individual higher intensity-weekday evening",23 002,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs during the weekday evening.,Hour,N,$47.67 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"assistance to access community, social/recreational acts - individual - higher intensity -Saturday",23 003,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs on a Saturday.,Hour,N,$60.31 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"assistance to access community, social/recreational acts - individual higher intensity -Sundays",23 004,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs on a Sunday.,Hour,N,$77.16 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"assistance to access community, social/recreational acts - individual higher intensity -weekdays",23 005,Individual participation support by a support worker with additional qualifications and experience relevant to the participant’s complex needs during the week.,Hour,N,$43.47 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"assistance to access community, social and recreational activities - individual -per public holiday",23 006,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a public holiday.",Hour,N,$89.06 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"assistance to access community, social and recreational activities - individual -per weekday evening",23 007,"Provision of support to enable a participant to independently engage in community, social and recreational activities during the week",Hour,N,$45.17 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"assistance to access community, social and recreational activities - individual -per weekdays",23 008,"Provision of support to enable a participant to independently engage in community, social and recreational activities during the week",Hour,N,$41.18 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"assistance to access community, social and recreational activities - individual -Saturday",23 009,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a Saturday.",Hour,N,$57.13 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"assistance to access community, social and recreational activities - individual -Sundays",23 010,"Provision of support to enable a participant to independently engage in community, social and recreational activities on a Sunday.",Hour,N,$73.11 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,group based activities in a centre - core,23 011,social and recreational activities in a centre based program,Hour,N,$18.64 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,group based activities in a centre - Saturday,23 013,Social and recreational activities in a centre based program on Saturdays,Hour,N,$27.32 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,group based activities in a centre - Sunday,23 014,social and recreational activities in a centre based program on Sundays,Hour,N,$34.95 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,group based activities in a centre - weekday evening,23 015,Social and recreational activities in a centre based program when the activity finishes after 8pm.,Hour,N,$20.46 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities",23 016,"Community, social and recreational activities in a group.",Hour,N,$20.59 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - Saturday",23 017,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays",Hour,N,$28.57 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - Sunday",23 018,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays",Hour,N,$36.55 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - weekday evening",23 019,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm",Hour,N,$22.58 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"community, social and recreational activities",23 023,"Annual support to enable a participant to independently engage in community, social and recreational activities when costs of participation exceed an affordable level and without, the participant would be at risk of social isolation.",Each,N,$500.00 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - higher intensity",23 024,"Community, social and recreational activities in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,$27.40 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - higher intensity - Saturday",23 025,"Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,$38.03 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - higher intensity - Sunday",23 026,"Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 2 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,$48.66 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - higher intensity - weekday evening",23 027,"Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 2 persons per staff member.",Hour,N,$30.07 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,community participation activities,23 028,Participation in community based activities that build skills and independence.,Each,N,$1.00 ,Increased social and community participation,9
Participate Community,"group based community, social and recreational activities - ratio 1:3",23 029,"Community, social and recreation activities in a group at a 1:3 ratio",Hour,N,$13.73 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - Saturday - ratio 1:3",23 030,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Saturdays at a 1:3 ratio",Hour,N,$19.04 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - Sunday - ratio 1:3",23 031,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on Sundays at a 1:3 ratio",Hour,N,$24.37 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - weekday evening - ratio 1:3",23 032,"Provision of support to enable a participant to engage in community, social and recreational activities in a group on weekday evenings when the activity finishes after 8pm at a 1:3 ratio",Hour,N,$15.06 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - higher intensity - ratio 1:3",23 033,"Community, social and recreational activities in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,$18.27 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - higher intensity - Saturday - ratio 1:3",23 034,"Community, social and recreational activities on a Saturday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,$25.35 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - higher intensity - Sunday - ratio 1:3",23 035,"Community, social and recreational activities on a Sunday in a group with a staff ratio of a maximum of 3 persons per staff worker when the participant has challenging behaviour or high medical support needs.",Hour,N,$32.44 ,"Assistance with daily life at home in the community, education and at work",1
Participate Community,"group based community, social and recreational activities - higher intensity - weekday evening - 1:3",23 036,"Social and recreational activities, when the activity finishes after 8pm, with a staff ratio of a maximum of 3 persons per staff member.",Hour,N,$20.05 ,"Assistance with daily life at home in the community, education and at work",1
Assistive Prod-Household Task,environmental control systems,24 13 03 00,,Each,Y,$400.00 ,Assistive technology,5
Assistive Prod-Household Task,environmental control unit,24 13 03 01,,Each,Y,$400.00 ,Assistive technology,5
Assistive Prod-Household Task,ECU controlled wireless mains socket,24 13 03 02,,Each,Y,$70.00 ,Assistive technology,5
Assistive Prod-Household Task,environmental control software,24 13 06 00,,Each,Y,$1.00 ,Assistive technology,5
Comms & Info Equipment,fixed position systems - mounting for communication device,24 24 03 01,adjustable method of attaching communication device to wheelchair or furniture,Each,Y,$1.00 ,Assistive technology,5
Physical Wellbeing,dietician consultation and diet plan development,25 001,Individual advice to a participant on managing diet for health and wellbeing due to the impact of their disability,Hour,N,$172.13 ,Improved health and wellbeing,12
Physical Wellbeing,dietician group session,25 003,Group based specialist dietary advice on managing diet for wellbeing due to the impact of their disability,Hour,N,$57.38 ,Improved health and wellbeing,12
Physical Wellbeing,exercise physiology,25 004,Individual advice to a participant regarding exercise required due to the impact of their disability,Hour,N,$140.06 ,Improved health and wellbeing,12
Physical Wellbeing,exercise physiology in a group,25 005,advice to a participant regarding exercise required due to the impact of their disability provided in group setting,Hour,N,$46.69 ,Improved health and wellbeing,12
Physical Wellbeing,personal training,25 008,Personal training provided to a participant required due to the impact of their disability.,Hour,N,$52.48 ,Improved health and wellbeing,12
Plan Management,financial and service intermediary activities,26 001,Undertaking regular liaison with providers and monitoring support provision.,Hour,Y,$52.06 ,Improved life choices,14
Plan Management,financial and service intermediary set up costs,26 002,The setting up of the financial and service management arrangements to assist with the managing of funding of supports.,Each,Y,$314.88 ,Improved life choices,14
Plan Management,financial intermediary - set up costs,26 003,A one-off setting up of the financial management arrangements for managing of funding of supports.,Each,Y,$209.92 ,Improved life choices,14
Plan Management,financial intermediary monthly processing,26 004,A monthly fee for the ongoing maintenance of the financial management arrangements for managing of funding of supports.,Each,Y,$31.49 ,Improved life choices,14
Therapeutic Supports,counselling group,27 003,"Facilitating self-knowledge, emotional acceptance and growth and the optimal development of personal resources through a group session. Assisting participants to gain their personal goals and gain greater insight into their lives.",Hour,N,$48.02 ,Improved daily living skills,4
Therapeutic Supports,individual counselling,27 005,"Facilitating self-knowledge, emotional acceptance and growth and the optimal development of personal resources on a one to one basis. Assist participants to work towards their personal goals and gain greater insight into their lives.",Hour,N,$144.07 ,Improved daily living skills,4
Therapeutic Supports,Group therapy.,27 024,Provision of interventions by more than one professional in a group session towards the participants agreed goals,Hour,N,$57.38 ,Improved daily living skills,4
Therapeutic Supports,therapy assistant,27 029,"Program to empower participants & improve interactions between participants & their social networks. Assistance to engage effectively in the community through a group approach to help achieve goals, gain insight into their lives & make informed decisions.",Hour,N,$40.12 ,Improved daily living skills,4
Therapeutic Supports,"individual assessment, therapy and/or training (includes assistive technology)",27 034,"Assessment, therapy, training, fitting and any approved travel to deliver support.",Hour,N,$172.13 ,Improved daily living skills,4
Therapeutic Supports,multidisciplinary team,27 035,Multidisciplinary model of support delivered to participants over 8 years to improve community outcomes for participant.,Each,N,$1.00 ,Improved daily living skills,4
Training-Travel Independence,specialised driver training,28 004,Driving lessons required due to the impact of disability. This item should be in response to a driver trained specialist Occupational Therapist Assessment.,Each,Y,$95.00 ,Improved daily living skills,4
Assistive Equip-Recreation,other adapted recreation equipment,30 00 00 09,"Products such as card holders, camera holders and adaptions to enable a person with disability to participate in recreational activity",Each,Y,$1.00 ,Assistive technology,5
Vision Equipment,dog guide,30 000,Specially trained dog to guide person with vision impairment,Each,Y,$1.00 ,Assistive technology,5
Vision Equipment,dog guide ongoing costs,30 001,"Ongoing costs for medication, annual vet checks, food etc",Each,Y,"$2,500.00 ",Assistive technology,5
Assistive Equip-Recreation,switch adapted toys,30 03 03 01,Toys adapted with switches or other adaptions to enable a child or young person with disability to use them.,Each,Y,$100.00 ,Assistive technology,5
Assistive Equip-Recreation,adapted books,30 03 03 02,books adapted with switches or other adaptions to enable a child or young person with disability to use them.,Each,Y,$50.00 ,Assistive technology,5
Assistive Equip-Recreation,other toy adaptions,30 03 03 03,,Each,Y,$100.00 ,Assistive technology,5
Assistive Equip-Recreation,track race wheelchair,30 09 00 10,,Each,Y,"$5,500.00 ",Assistive technology,5
Assistive Equip-Recreation,sport adaptions to wheelchair (power or manual),30 09 00 11,,Each,Y,$500.00 ,Assistive technology,5
Assistive Equip-Recreation,beach suitable wheelchair,30 09 00 12,,Each,Y,$800.00 ,Assistive technology,5
Assistive Equip-Recreation,basketball wheelchair,30 09 03 01,,Each,Y,"$3,750.00 ",Assistive technology,5
Assistive Equip-Recreation,rugby wheelchair,30 09 03 02,,Each,Y,"$4,750.00 ",Assistive technology,5
Assistive Equip-Recreation,assistive products for audio visual pursuits,30 09 03 05,Interfaces that allow a person with disability to access recreational gaming equipment when unable to do so through conventional routes,Each,Y,$1.00 ,Assistive technology,5
Assistive Equip-Recreation,adaptions for arm and hand prosthetics for sport and leisure,30 09 03 06,terminal device to enable participation in sport,Each,Y,$1.00 ,Assistive technology,5
Assistive Equip-Recreation,environmental control for electronic leisure access,30 09 03 07,Interfaces which enable a person with disability to activate standard household audio visual equipment by switch scanning voice or eye gaze,Each,Y,$1.00 ,Assistive technology,5
Assistive Equip-Recreation,specialist prosthetic lower limb for sports,30 09 03 08,,Each,Y,"$1,870.00 ",Assistive technology,5
Assistive Equip-Recreation,prosthetic lower limb suitable for wet environments,30 09 03 09,,Each,Y,"$1,870.00 ",Assistive technology,5
Assistive Equip-Recreation,specialised bowling equipment,30 09 12 01,,Each,N,$300.00 ,Assistive technology,5
Assistive Equip-Recreation,adapted mobility toy,31 03 03 04,,Each,Y,$100.00 ,Assistive technology,5
Personal Mobility Equipment,minor prosthetic repair - average price,50 06 24 01,,Each,Y,$250.00 ,Assistive technology,5
Personal Mobility Equipment,major prosthetic repair - average price,50 06 24 02,,Each,Y,"$2,000.00 ",Assistive technology,5
Assist Prod-Pers Care/Safety,bathing and toileting equipment repair,50 09 33 01,repairs to any toileting and bathing equipment,Each,N,$200.00 ,Assistive technology,5
Personal Mobility Equipment,"repairs - mobility domain, wheeled mobility minor repair",50 12 00 01,smaller repairs on newer chairs recently past warranty,Each,Y,$580.00 ,Assistive technology,5
Personal Mobility Equipment,"repairs - mobility domain, wheeled mobility major repair",50 12 00 02,"Includes repairs for chairs usually over 4 years old, which may require work on actuators or other parts.",Each,Y,$800.00 ,Assistive technology,5
Vehicle modifications,repair vehicle modification,50 12 12 21,"Repairs to specialist vehicle hoists, tie downs, driving adaptions",Each,Y,$250.00 ,Vehicle modifications,6
Personal Mobility Equipment,tyres,50 12 24 21,,Each,Y,$25.00 ,Assistive technology,5
Personal Mobility Equipment,battery or charger,50 12 24 24,,Each,Y,$1.00 ,Assistive technology,5
Assist Prod-Pers Care/Safety,hoist repair- mobile or portable,50 12 36 01,,Each,N,$500.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,HEN equipment repairs,50 15 09 30,,Each,Y,$100.00 ,"Assistance with daily life at home in the community, education and at work",1
Assist Prod-Pers Care/Safety,electric bed repair,50 18 12 01,,Each,N,$300.00 ,Assistive technology,5
Comms & Info Equipment,communication equipment repairs,50 22 00 01,,Each,Y,$1.00 ,Assistive technology,5
Hearing Equipment,cochlear and other implantable processor repairs,50 22 06 12,payable only if manufacturers invoice for repairs is retained,Each,Y,$370.00 ,Assistive technology,5
Hearing Equipment,hearing aid battery and consumables supply,50 22 06 15,12 months battery supply per hearing aid,Each,N,$103.80 ,Assistive technology,5
Vision Equipment,vision equipment repair,50 22 18 00,,Each,N,$300.00 ,Assistive technology,5
Assistive Equip-Recreation,specialised recreation equipment repairs,50 30 00 00,,Each,Y,$1.00 ,Assistive technology,5
